CustomerKey,GeographyKey,CustomerLabel,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CustomerType,CompanyName,ETLLoadID,LoadDate,UpdateDate
11,478,11010,,Jacquelyn,C,Suarez,False,1964-02-06,S,,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,,1 (11) 500 555-0169,2001-07-17,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
12,478,11011,,Curtis,,Lu,False,1963-11-04,M,,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Professional,1,4,1224 Shoenic,,1 (11) 500 555-0117,2001-07-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
13,442,11012,,Lauren,M,Walker,False,1968-01-18,M,,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Management,1,2,4785 Scott Street,,717-555-0164,2003-09-17,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
14,500,11013,,Ian,M,Jenkins,False,1968-08-06,M,,M,ian47@adventure-works.com,100000,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,,817-555-0185,2003-10-15,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
15,677,11014,,Sydney,,Bennett,False,1968-05-09,S,,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Management,0,3,9011 Tank Drive,,431-555-0156,2003-09-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
16,443,11015,,Chloe,,Young,False,1979-02-27,S,,F,chloe23@adventure-works.com,30000,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,,208-555-0142,2003-07-22,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
17,494,11016,,Wyatt,L,Hill,False,1979-04-28,M,,M,wyatt32@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,,135-555-0171,2003-08-13,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
18,699,11017,,Shannon,,Wang,False,1944-06-26,S,,F,shannon1@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,,1 (11) 500 555-0195,2001-07-15,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
19,425,11018,,Clarence,D,Rai,False,1944-10-09,S,,M,clarence32@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,244 Rivewview,,1 (11) 500 555-0137,2001-07-20,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
20,499,11019,,Luke,L,Lal,False,1978-03-07,S,,M,luke18@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,,262-555-0112,2003-08-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
21,511,11020,,Jordan,C,King,False,1978-09-20,S,,M,jordan73@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,,550-555-0163,2003-07-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
22,580,11021,,Destiny,,Wilson,False,1978-09-03,S,,F,destiny7@adventure-works.com,40000,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,,622-555-0158,2003-07-27,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
23,583,11022,,Ethan,G,Zhang,False,1978-10-12,M,,M,ethan20@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,,589-555-0185,2003-07-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
24,582,11023,,Seth,M,Edwards,False,1978-10-11,M,,M,seth46@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,,452-555-0188,2003-08-21,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
25,470,11024,,Russell,,Xie,False,1978-09-17,M,,M,russell7@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,,746-555-0186,2003-12-29,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
26,637,11025,,Alejandro,,Beck,False,1945-12-23,M,,M,alejandro45@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,,1 (11) 500 555-0178,2001-07-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
27,634,11026,,Harold,,Sai,False,1946-04-03,S,,M,harold3@adventure-works.com,30000,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,,1 (11) 500 555-0131,2001-07-26,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
28,568,11027,,Jessie,R,Zhao,False,1946-12-07,M,,M,jessie16@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,213 Valencia Place,,1 (11) 500 555-0184,2001-07-19,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
29,554,11028,,Jill,,Jimenez,False,1946-04-11,M,,F,jill13@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,,1 (11) 500 555-0116,2001-07-29,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
30,425,11029,,Jimmy,L,Moreno,False,1946-12-21,M,,M,jimmy9@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,6385 Mark Twain,,1 (11) 500 555-0146,2001-07-22,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
31,613,11030,,Bethany,G,Yuan,False,1947-02-22,M,,F,bethany10@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,,1 (11) 500 555-0182,2001-08-08,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
32,509,11031,,Theresa,G,Ramos,False,1947-08-22,M,,F,theresa13@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,,1 (11) 500 555-0195,2001-08-04,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
33,656,11032,,Denise,,Stone,False,1947-06-11,M,,F,denise10@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,626 Bentley Street,,1 (11) 500 555-0169,2001-08-21,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
34,512,11033,,Jaime,,Nath,False,1947-09-23,M,,M,jaime41@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,,1 (11) 500 555-0137,2001-08-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
35,669,11034,,Ebony,,Gonzalez,False,1947-06-19,M,,F,ebony19@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,5167 Condor Place,,1 (11) 500 555-0136,2001-08-04,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
36,471,11035,,Wendy,,Dominguez,False,1948-02-24,M,,F,wendy12@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,,1 (11) 500 555-0177,2001-08-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
37,516,11036,,Jennifer,C,Russell,False,1978-12-18,M,,F,jennifer93@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,,115-555-0183,2003-07-26,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
38,467,11037,,Chloe,M,Garcia,False,1977-11-27,S,,F,chloe27@adventure-works.com,40000,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,,229-555-0112,2003-07-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
39,648,11038,,Diana,F,Hernandez,False,1948-03-23,M,,F,diana2@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,,1 (11) 500 555-0114,2001-08-10,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
40,706,11039,,Marc,J,Martin,False,1948-12-17,M,,M,marc3@adventure-works.com,30000,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,,1 (11) 500 555-0183,2001-08-10,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
41,559,11040,,Jesse,,Murphy,False,1977-08-01,M,,M,jesse15@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,,961-555-0176,2003-10-05,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
42,633,11041,,Amanda,M,Carter,False,1977-10-16,M,,F,amanda53@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,,295-555-0145,2003-07-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
43,653,11042,,Megan,J,Sanchez,False,1977-06-13,M,,F,megan28@adventure-works.com,70000,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,,404-555-0199,2003-07-25,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
44,633,11043,,Nathan,M,Simmons,False,1976-02-24,M,,M,nathan11@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,,296-555-0181,2003-11-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
45,492,11044,,Adam,L,Flores,False,1949-05-24,M,,M,adam10@adventure-works.com,20000,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,,1 (11) 500 555-0163,2001-08-31,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
46,509,11045,,Leonard,G,Nara,False,1950-05-19,S,,M,leonard18@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,,1 (11) 500 555-0151,2003-10-12,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
47,648,11046,,Christine,,Yuan,False,1950-03-22,M,,F,christine4@adventure-works.com,30000,3,0,High School,Skilled Manual,1,2,2356 Orange St,,1 (11) 500 555-0113,2001-08-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
48,632,11047,,Jaclyn,D,Lu,False,1950-02-27,M,,F,jaclyn12@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,2812 Mazatlan,,1 (11) 500 555-0137,2001-08-06,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
49,699,11048,,Jeremy,,Powell,False,1950-11-22,M,,M,jeremy26@adventure-works.com,30000,3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,,1 (11) 500 555-0183,2001-08-13,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
50,610,11049,,Carol,C,Rai,False,1980-07-18,S,,F,carol8@adventure-works.com,40000,0,0,Partial High School,Clerical,1,2,6064 Madrid,,654-555-0180,2003-09-10,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
51,493,11050,,Alan,,Zheng,False,1951-09-07,M,,M,alan23@adventure-works.com,30000,3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,,1 (11) 500 555-0135,2001-08-23,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
52,599,11051,,Daniel,,Johnson,False,1951-08-04,S,,M,daniel18@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,,1 (11) 500 555-0155,2004-07-01,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
53,509,11052,,Heidi,,Lopez,False,1951-08-07,S,,F,heidi19@adventure-works.com,40000,2,0,Partial College,Clerical,0,2,2514 Via Cordona,,1 (11) 500 555-0168,2001-08-20,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
54,688,11053,,Ana,E,Price,False,1980-08-20,M,,F,ana0@adventure-works.com,60000,0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,,859-555-0113,2003-07-21,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
55,632,11054,,Deanna,,Munoz,False,1952-03-10,M,,F,deanna33@adventure-works.com,40000,2,0,Partial College,Skilled Manual,1,2,5825 B Way,,1 (11) 500 555-0192,2001-08-06,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
56,478,11055,,Gilbert,,Raje,False,1952-03-05,M,,M,gilbert35@adventure-works.com,40000,2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,,1 (11) 500 555-0129,2001-08-03,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
57,518,11056,,Michele,L,Nath,False,1953-04-03,M,,F,michele19@adventure-works.com,40000,3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,,1 (11) 500 555-0178,2001-08-29,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
58,646,11057,,Carl,J,Andersen,False,1953-10-12,M,,M,carl12@adventure-works.com,70000,2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,,1 (11) 500 555-0181,2001-08-25,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
59,628,11058,,Marc,,Diaz,False,1954-04-27,M,,M,marc6@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,,1 (11) 500 555-0149,2001-09-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
60,561,11059,,Ashlee,J,Andersen,False,1954-04-01,S,,F,ashlee19@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,,1 (11) 500 555-0112,2003-08-22,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
61,568,11060,,Jon,L,Zhou,False,1954-03-17,M,,M,jon28@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,,1 (11) 500 555-0174,2001-09-19,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
62,487,11061,,Todd,M,Gao,False,1954-02-27,M,,M,todd14@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,,1 (11) 500 555-0191,2001-09-13,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
63,536,11062,,Noah,D,Powell,False,1975-09-02,M,,M,noah5@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,9794 Marion Ct,,767-555-0113,2003-07-11,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
64,677,11063,,Angela,,Murphy,False,1975-04-07,S,,F,angela41@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,4927 Virgil Street,# 21,451-555-0162,2003-07-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
65,475,11064,,Chase,,Reed,False,1975-12-07,M,,M,chase21@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,,892-555-0184,2003-07-29,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
66,643,11065,,Jessica,,Henderson,False,1973-10-09,M,,F,jessica29@adventure-works.com,60000,0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,,278-555-0186,2003-08-14,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
67,500,11066,,Grace,T,Butler,False,1973-11-27,M,,F,grace62@adventure-works.com,70000,0,0,Partial College,Professional,1,2,4739 Garden Ave.,,712-555-0141,2003-12-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
68,535,11067,,Caleb,F,Carter,False,1976-09-25,S,,M,caleb40@adventure-works.com,60000,0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,,944-555-0167,2004-02-19,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
69,568,11068,,Tiffany,,Liang,False,1955-09-23,S,,F,tiffany17@adventure-works.com,80000,2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,2003-11-01,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
70,487,11069,,Carolyn,,Navarro,False,1955-09-21,S,,F,carolyn30@adventure-works.com,80000,2,0,High School,Skilled Manual,0,2,4606 Springwood Court,,1 (11) 500 555-0145,2001-10-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
71,699,11070,,Willie,T,Raji,False,1955-04-05,M,,M,willie40@adventure-works.com,80000,2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,,1 (11) 500 555-0151,2001-10-29,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
72,637,11071,,Linda,,Serrano,False,1955-06-26,S,,F,linda31@adventure-works.com,80000,2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,,1 (11) 500 555-0130,2003-09-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
73,554,11072,,Casey,,Luo,False,1955-02-06,S,,F,casey6@adventure-works.com,80000,2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,,1 (11) 500 555-0125,2001-10-01,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
74,553,11073,,Amy,,Ye,False,1956-08-14,S,,F,amy16@adventure-works.com,70000,2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,,1 (11) 500 555-0185,2003-09-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
75,613,11074,,Levi,A,Arun,False,1956-08-28,S,,M,levi6@adventure-works.com,70000,2,0,High School,Skilled Manual,1,2,4661 Bluetail,,1 (11) 500 555-0127,2003-09-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
76,425,11075,,Felicia,L,Jimenez,False,1957-11-16,S,,F,felicia4@adventure-works.com,80000,2,0,High School,Professional,1,2,786 Eastgate Ave,,1 (11) 500 555-0165,2001-10-29,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
77,706,11076,,Blake,,Anderson,False,1957-07-13,S,,M,blake9@adventure-works.com,80000,2,0,High School,Professional,1,2,5436 Clear,# 101,1 (11) 500 555-0113,2001-10-22,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
78,510,11077,,Leah,,Ye,False,1957-09-19,S,,F,leah7@adventure-works.com,80000,2,0,High School,Professional,0,2,1291 Arguello Blvd.,,1 (11) 500 555-0154,2001-10-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
79,467,11078,,Gina,E,Martin,False,1974-01-10,S,,F,gina1@adventure-works.com,40000,0,0,High School,Professional,0,2,1349 Sol St.,,196-555-0114,2003-08-19,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
80,632,11079,,Donald,,Gonzalez,False,1959-03-11,S,,M,donald20@adventure-works.com,160000,0,0,Graduate Degree,Management,1,2,4236 Malibu Place,,1 (11) 500 555-0137,2003-09-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
81,531,11080,,Damien,,Chander,False,1959-07-17,M,,M,damien32@adventure-works.com,170000,0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,,1 (11) 500 555-0111,2001-10-11,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
82,470,11081,,Savannah,C,Baker,False,1966-07-24,M,,F,savannah39@adventure-works.com,120000,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,,478-555-0117,2003-08-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
83,631,11082,,Angela,L,Butler,False,1966-08-04,S,,F,angela17@adventure-works.com,130000,0,1,Graduate Degree,Management,0,3,6040 Listing Ct,,579-555-0195,2003-07-26,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
84,505,11083,,Alyssa,F,Cox,False,1966-03-15,M,,F,alyssa37@adventure-works.com,130000,0,1,Graduate Degree,Management,1,3,867 La Orinda Place,,561-555-0140,2003-07-10,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
85,500,11084,,Lucas,,Phillips,False,1957-09-12,S,,M,lucas7@adventure-works.com,80000,2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,,863-555-0172,2003-07-08,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
86,667,11085,,Emily,,Johnson,False,1957-07-19,S,,F,emily1@adventure-works.com,60000,2,0,High School,Professional,0,2,7926 Stephanie Way,,850-555-0184,2004-06-08,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
87,547,11086,,Ryan,,Brown,False,1957-12-23,M,,M,ryan43@adventure-works.com,70000,2,1,Partial College,Professional,1,0,2939 Wesley Ct.,,539-555-0198,2004-01-03,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
88,610,11087,,Tamara,L,Liang,False,1957-10-03,M,,F,tamara6@adventure-works.com,70000,3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,,178-555-0152,2003-08-29,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
89,688,11088,,Hunter,,Davis,False,1957-11-25,M,,M,hunter64@adventure-works.com,80000,2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,,612-555-0141,2003-07-17,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
90,652,11089,,Abigail,M,Price,False,1957-02-05,S,,F,abigail25@adventure-works.com,80000,2,1,Bachelors,Management,1,1,2685 Blackburn Ct,,532-555-0117,2003-07-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
91,653,11090,,Trevor,,Bryant,False,1957-12-17,S,,M,trevor18@adventure-works.com,90000,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,,853-555-0174,2002-02-07,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
92,490,11091,,Dalton,,Perez,False,1957-04-04,M,,M,dalton37@adventure-works.com,90000,2,0,Partial College,Professional,1,1,6083 San Jose,,559-555-0115,2003-08-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
93,478,11092,,Cheryl,A,Diaz,False,1967-05-06,M,,F,cheryl4@adventure-works.com,90000,2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,,1 (11) 500 555-0192,2001-10-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
94,706,11093,,Aimee,A,He,False,1967-09-10,M,,F,aimee13@adventure-works.com,100000,0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,,1 (11) 500 555-0161,2001-10-08,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
95,471,11094,,Cedric,W,Ma,False,1962-04-01,S,,M,cedric15@adventure-works.com,70000,1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,,1 (11) 500 555-0115,2003-10-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
96,534,11095,,Chad,,Kumar,False,1962-09-01,S,,M,chad9@adventure-works.com,70000,1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,,1 (11) 500 555-0151,2001-10-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
97,669,11096,,Andrés,,Anand,False,1962-08-10,M,,M,andrés18@adventure-works.com,60000,1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,,1 (11) 500 555-0184,2001-10-12,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
98,568,11097,,Edwin,R,Nara,False,1961-10-27,M,,M,edwin39@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,719 William Way,,1 (11) 500 555-0112,2001-10-05,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
99,679,11098,,Mallory,S,Rubio,False,1961-05-01,S,,F,mallory7@adventure-works.com,60000,1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,,1 (11) 500 555-0157,2003-08-15,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
100,534,11099,,Adam,,Ross,False,1961-03-08,M,,M,adam2@adventure-works.com,60000,1,0,Bachelors,Professional,1,1,4378 Westminster Place,,1 (11) 500 555-0186,2001-10-08,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
101,613,11100,,Latasha,L,Navarro,False,1960-09-15,S,,F,latasha10@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,,1 (11) 500 555-0123,2001-10-17,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
102,471,11101,,Abby,L,Sai,False,1965-05-08,S,,F,abby4@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,,1 (11) 500 555-0174,2001-10-30,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
103,558,11102,,Julia,L,Nelson,False,1965-04-21,S,,F,julia7@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,2196 Coat Ct.,,1 (11) 500 555-0124,2004-01-17,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
104,473,11103,,Cassie,,Chande,False,1964-10-17,S,,F,cassie13@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,9448 San Marino Ct.,,1 (11) 500 555-0166,2001-10-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
105,487,11104,,Edgar,A,Sara,False,1964-03-11,M,,M,edgar11@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,6127 Lilly Lane,,1 (11) 500 555-0125,2001-11-04,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
